"","STNAME","CTYNAME","YEAR","state_po","totalvotes","county_fips","DEMOCRAT","OTHER","REPUBLICAN","winner","percent_rep","age","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","TOM_MALE","TOM_FEMALE","NH_MALE","NH_FEMALE","H_MALE","H_FEMALE","MINORITY_MALE","MINORITY_FEMALE"
"24","CALIFORNIA","INYO",2020,"CA",9484,6027,4634,230,4620,"D",0.499243570347958,"total",18046,9033,9013,7214,7116,132,84,1204,1289,147,151,319,362,6854,6919,2179,2094,1819,1897
"25","COLORADO","ALAMOSA",2016,"CO",6939,8003,3189,704,3046,"D",0.488532477947073,"ages 15-34",5448,2753,2695,2378,2346,80,68,135,148,47,51,104,69,1399,1360,1354,1335,375,349
"26","COLORADO","ALAMOSA",2016,"CO",6939,8003,3189,704,3046,"D",0.488532477947073,"ages 35-64",5174,2571,2603,2273,2333,54,23,149,142,36,45,55,55,1467,1447,1104,1156,298,270
"27","COLORADO","ALAMOSA",2016,"CO",6939,8003,3189,704,3046,"D",0.488532477947073,"ages 65+",2133,1001,1132,934,1069,5,3,42,27,8,9,11,23,680,736,321,396,67,63
"28","COLORADO","ALAMOSA",2016,"CO",6939,8003,3189,704,3046,"D",0.488532477947073,"total",16047,8046,8001,7037,7094,166,118,448,417,119,128,259,219,4310,4267,3736,3734,1009,907
"29","COLORADO","ALAMOSA",2020,"CO",7808,8003,3759,236,3813,"R",0.503565768621236,"ages 15-34",5395,2699,2696,2324,2331,81,77,129,153,58,49,97,72,1337,1351,1362,1345,375,365
"30","COLORADO","ALAMOSA",2020,"CO",7808,8003,3759,236,3813,"R",0.503565768621236,"ages 35-64",5101,2479,2622,2178,2337,63,23,143,146,32,48,58,61,1366,1435,1113,1187,301,285
"31","COLORADO","ALAMOSA",2020,"CO",7808,8003,3759,236,3813,"R",0.503565768621236,"ages 65+",2391,1129,1262,1034,1176,8,7,53,35,18,10,15,33,741,788,388,474,95,86
"32","COLORADO","ALAMOSA",2020,"CO",7808,8003,3759,236,3813,"R",0.503565768621236,"total",16180,8001,8179,6916,7194,197,136,464,442,136,131,264,249,4187,4265,3814,3914,1085,985
"33","COLORADO","CHAFFEE",2016,"CO",11250,8015,4888,971,5391,"R",0.524467360638194,"ages 15-34",4097,2448,1649,2165,1537,172,10,42,36,22,20,45,44,1901,1468,547,181,283,112
